"Distance [mm]","Voltage [V]"
1.06892712,-0.872652392558612
1.07322,-0.872166086039578
1.07751288,-0.871679779520523
1.08180576,-0.871193473001447
1.08609864,-0.870707166482354
1.09039152,-0.870220859963256
1.0946844,-0.869734553444155
1.09897728,-0.86924824692505
1.10327016,-0.868761940405941
1.10756304,-0.868275633886829
1.11185592,-0.867789327367719
1.1161488,-0.867303020848621
1.12044168,-0.866816714329532
1.12473456,-0.86633040781045
1.12902744,-0.865844101291375
1.13332032,-0.865357794772304
1.1376132,-0.864871488253244
1.14190608,-0.864385181734217
1.14619896,-0.863898875215224
1.15049184,-0.863412568696265
1.15478472,-0.86292626217734
1.1590776,-0.862439955658451
1.16337048,-0.861953649139599
1.16766336,-0.861467342620784
1.17195624,-0.860981036102005
1.17624912,-0.860494729583261
1.180542,-0.860008423064555
1.18483488,-0.859522116545884
1.18912776,-0.85903581002724
1.19342064,-0.858549503508621
1.19771352,-0.858063196990074
1.2020064,-0.857576890471619
1.20629928,-0.857090583953257
1.21059216,-0.856604277434987
1.21488504,-0.856117970916812
1.21917792,-0.85563166439874
1.2234708,-0.855145357880767
1.22776368,-0.854659051362892
1.23205656,-0.854172744845116
1.23634944,-0.853686438327438
1.24064232,-0.853200131809858
1.2449352,-0.852713825292376
1.24922808,-0.852227518774999
1.25352096,-0.851741212257736
1.25781384,-0.851254905740671
1.26210672,-0.850768599223803
1.2663996,-0.850282292707134
1.27069248,-0.849795986190664
1.27498536,-0.849309679674408
1.27927824,-0.848823373158376
1.28357112,-0.848337066642556
1.287864,-0.847850760126956
1.29215688,-0.847364453611579
1.29644976,-0.846878147096424
1.30074264,-0.84639184058149
1.30503552,-0.845905534066779
1.3093284,-0.845419227552308
1.31362128,-0.844932921038081
1.31791416,-0.844446614524118
1.32220704,-0.84396030801042
1.32649992,-0.843474001496988
1.3307928,-0.842987694983821
1.33508568,-0.842501388470912
1.33937856,-0.84201508195828
1.34367144,-0.841528775445959
1.34796432,-0.841042468933962
1.3522572,-0.840556162422269
1.35655008,-0.840069855910879
1.36084296,-0.83958354939979
1.36513584,-0.839097242889004
1.36942872,-0.838610936378523
1.3737216,-0.838124629868348
1.37801448,-0.837638323358479
1.38230736,-0.837152016848973
1.38660024,-0.836665710339633
1.39089312,-0.836179403830388
1.395186,-0.835693097321237
1.39947888,-0.835206790812181
1.40377176,-0.834720484303219
1.40806464,-0.83423417779435
1.41235752,-0.833747871285577
1.4166504,-0.833261564776885
1.42094328,-0.832775258268265
1.42523616,-0.832288951759719
1.42952904,-0.831802645251246
1.43382192,-0.831316338742845
1.4381148,-0.830830032234518
1.44240768,-0.830343725726264
1.44670056,-0.829857419218081
1.45099344,-0.829371112709967
1.45528632,-0.828884806201938
1.4595792,-0.828398499693998
1.46387208,-0.827912193186146
1.46816496,-0.827425886678383
1.47245784,-0.82693958017071
1.47675072,-0.826453273663125
1.4810436,-0.825966967155628
1.48533648,-0.825480660648214
1.48962936,-0.824994354140891
1.49392224,-0.824508047633669
1.49821512,-0.82402174112655
1.502508,-0.823535434619533
1.50680088,-0.823049128112618
1.51109376,-0.822562821605817
1.51538664,-0.822076515099152
1.51967952,-0.821590208592631
1.5239724,-0.821103902086265
1.52826528,-0.820617595580056
1.53255816,-0.820131289074001
1.53685104,-0.819644982568102
1.54114392,-0.819158676062358
1.5454368,-0.818672369556769
1.54972968,-0.818186063051329
1.55402256,-0.817699756546033
1.55831544,-0.81721345004092
1.56260832,-0.816727143535989
1.5669012,-0.81624083703124
1.57119408,-0.815754530526673
1.57548696,-0.815268224022306
1.57977984,-0.814781917518206
1.58407272,-0.814295611014376
1.5883656,-0.813809304510832
1.59265848,-0.813322998007571
1.59695136,-0.812836691504593
1.60124424,-0.812350385001896
1.60553712,-0.811864078499454
1.60983,-0.811377771997318
1.61412288,-0.810891465495486
1.61841576,-0.810405158993958
1.62270864,-0.809918852492735
1.62700152,-0.80943254599182
1.6312944,-0.80894623949127
1.63558728,-0.808459932991062
1.63988016,-0.807973626491196
1.64417304,-0.807487319991673
1.64846592,-0.807001013492493
1.6527588,-0.806514706993657
1.65705168,-0.806028400495163
1.66134456,-0.805542093997023
1.66563744,-0.80505578749924
1.66993032,-0.804569481001813
1.6742232,-0.804083174504825
1.67851608,-0.803596868008345
1.68280896,-0.803110561512365
1.68710184,-0.802624255016886
1.69139472,-0.802137948521908
1.6956876,-0.801651642027431
1.69998048,-0.801165335533455
1.70427336,-0.800679029040301
1.70856624,-0.800192722547853
1.71285912,-0.799706416056097
1.717152,-0.79922010956503
1.72144488,-0.798733803074652
1.72573776,-0.798247496585164
1.73003064,-0.797761190096202
1.73432352,-0.797274883607603
1.7386164,-0.796788577119366
1.74290928,-0.796302270631493
1.74720216,-0.795815964143981
1.75149504,-0.795329657656833
1.75578792,-0.794843351170001
1.7600808,-0.794357044683444
1.76437368,-0.793870738197163
1.76866656,-0.793384431711157
1.77295944,-0.792898125225428
1.77725232,-0.792411818739999
1.7815452,-0.791925512254819
1.78583808,-0.791439205769889
1.79013096,-0.790952899285184
1.79442384,-0.790466592800682
1.79871672,-0.789980286316393
1.8030096,-0.789493979832316
1.80730248,-0.789007673348452
1.81159536,-0.7885213668648
1.81588824,-0.788035060381357
1.82018112,-0.787548753898049
1.824474,-0.787062447414903
1.82876688,-0.786576140931905
1.83305976,-0.786089834449055
1.83735264,-0.785603527966351
1.84164552,-0.785117221483791
1.8459384,-0.784630915001319
1.85023128,-0.784144608518954
1.85452416,-0.783658302036698
1.85881704,-0.783171995554548
1.86310992,-0.782685689072506
1.8674028,-0.782199382590571
1.87169568,-0.781713076108724
1.87598856,-0.781226769626947
