Scalar,data,"SurfaceValue(Surface(Rectangle1), VOLTAGE)",
NumElems,3579,,
-1.30E-06,-1.97E-03,0.00E+00,"		-5.1492158834303581e-01"
-2.25E-06,-1.97E-03,0.00E+00,"		-5.3538815595757006e-01"
-1.79E-06,-1.97E-03,0.00E+00,"		-5.2350901102611069e-01"
-1.33E-06,-1.97E-03,0.00E+00,"		-5.1620648387722046e-01"
1.79E-08,-1.97E-03,0.00E+00,"		-5.0798153224136333e-01"
-6.30E-07,-1.97E-03,0.00E+00,"		-5.0901529220962982e-01"
-6.55E-07,-1.97E-03,0.00E+00,"		-5.0953916428329271e-01"
-1.28E-06,-1.97E-03,0.00E+00,"		-5.1334807391252602e-01"
-1.30E-06,-1.97E-03,0.00E+00,"		-5.1492158834303581e-01"
-1.33E-06,-1.97E-03,0.00E+00,"		-5.1620648387722046e-01"
1.20E-06,-1.91E-03,0.00E+00,"		-5.1576922612799470e-01"
6.96E-07,-1.90E-03,0.00E+00,"		-5.1113926505228879e-01"
1.37E-06,-1.90E-03,0.00E+00,"		-5.1789464391419793e-01"
1.91E-07,-1.90E-03,0.00E+00,"		-5.0942116988948094e-01"
8.64E-07,-1.90E-03,0.00E+00,"		-5.1221348408205880e-01"
1.54E-06,-1.90E-03,0.00E+00,"		-5.2068050677806832e-01"
2.30E-06,-1.91E-03,0.00E+00,"		-5.4167044104783069e-01"
1.75E-06,-1.91E-03,0.00E+00,"		-5.2450040226803607e-01"
1.92E-06,-1.90E-03,0.00E+00,"		-5.2917791448237983e-01"
1.20E-06,-1.91E-03,0.00E+00,"		-5.1576922612799470e-01"
1.37E-06,-1.90E-03,0.00E+00,"		-5.1789464391419793e-01"
1.54E-06,-1.90E-03,0.00E+00,"		-5.2068050677806832e-01"
-4.13E-06,-1.90E-03,0.00E+00,"		-7.6534215543166495e-01"
-4.57E-06,-1.90E-03,0.00E+00,"		-8.2563770945895920e-01"
-4.02E-06,-1.90E-03,0.00E+00,"		-7.4978233399433325e-01"
-5.00E-06,-1.90E-03,0.00E+00,"		-8.8884212888283309e-01"
-4.45E-06,-1.90E-03,0.00E+00,"		-8.1011950282539347e-01"
-3.91E-06,-1.90E-03,0.00E+00,"		-7.3378474837868868e-01"
