"Distance [mm]","Voltage [V]"
2.05199664,-0.738708479719916
2.05628952,-0.739202866290551
2.0605824,-0.73969725286095
2.06487528,-0.74019163943111
2.06916816,-0.740686026001034
2.07346104,-0.741180412570719
2.07775392,-0.741674799140167
2.0820468,-0.742169185709378
2.08633968,-0.742663572278352
2.09063256,-0.743157958847088
2.09492544,-0.743652345415587
2.09921832,-0.744146731983848
2.1035112,-0.744641118551871
2.10780408,-0.745135505119657
2.11209696,-0.745629891687206
2.11638984,-0.746124278254517
2.12068272,-0.746618664821591
2.1249756,-0.747113051388428
2.12926848,-0.747607437955026
2.13356136,-0.748101824521388
2.13785424,-0.748596211087512
2.14214712,-0.749090597653398
2.14644,-0.749584984219047
2.15073288,-0.750079370784459
2.15502576,-0.750573757349633
2.15931864,-0.751068143914569
2.16361152,-0.751562530479269
2.1679044,-0.752056917043731
2.17219728,-0.752551303607958
2.17649016,-0.753045690171948
2.18078304,-0.753540076735701
2.18507592,-0.754034463299217
2.1893688,-0.754528849862494
2.19366168,-0.755023236425534
2.19795456,-0.755517622988336
2.20224744,-0.756012009550912
2.20654032,-0.756506396113246
2.2108332,-0.757000782675335
2.21512608,-0.757495169237182
2.21941896,-0.757989555798786
2.22371184,-0.758483942360145
2.22800472,-0.758978328921262
2.2322976,-0.759472715482135
2.23659048,-0.759967102042764
2.24088336,-0.76046148860315
2.24517624,-0.760955875163293
2.24946912,-0.761450261723192
2.253762,-0.761944648282848
2.25805488,-0.762439034842261
2.26234776,-0.76293342140143
2.26664064,-0.763427807960355
2.27093352,-0.763922194519038
2.2752264,-0.764416581077477
2.27951928,-0.764910967635668
2.28381216,-0.765405354193615
2.28810504,-0.765899740751317
2.29239792,-0.766394127308775
2.2966908,-0.766888513865988
2.30098368,-0.767382900422957
2.30527656,-0.767877286979682
2.30956944,-0.768371673536162
2.31386232,-0.768866060092398
2.3181552,-0.76936044664839
2.32244808,-0.769854833204138
2.32674096,-0.770349219759641
2.33103384,-0.770843606314901
2.33532672,-0.771337992869915
2.3396196,-0.771832379424686
2.34391248,-0.772326765979211
2.34820536,-0.772821152533493
2.35249824,-0.773315539087531
