Scalar,data,"SurfaceValue(Surface(PDF_Geometry_3), VOLTAGE)",
NumElems,334,,
4.00E-07,-1.94E-03,3.46E-08,"		9.9834186379061307e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9833685107940484e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9835291212777200e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9834158111516369e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9835180604335272e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9835487986773108e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9831183922970490e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9834090003105391e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9833242542309408e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9834829484368037e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9834243632606290e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9834158111516369e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9835487986773108e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9835180604335272e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9833230352840929e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9834158111516369e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9834243632606290e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9834829484368037e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9834287369317898e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9834392380706394e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9833215699211575e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9833509439523538e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9835679189141602e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9831330848004196e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9834186379061307e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9835291212777200e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9833459080884235e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9835487986773108e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9834850488256000e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9833509439523538e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9831680016573476e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9833689044478757e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9835261686420262e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9834462874077357e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9833846305958773e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9832470448796540e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9834462874077357e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9833689044478757e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9833614821233219e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9831680016573476e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9833527621979778e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9834084927563227e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9833940861867609e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9833705339984913e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9833255260125275e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9833679905400452e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9832358799554455e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9832851660797883e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9834355053935597e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9834920083717404e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9833807409221798e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9833940861867609e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9833255260125275e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9832851660797883e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9835658470855304e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9835291141918758e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9835094714172046e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9833679905400452e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9833705339984913e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9833940861867609e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9832470448796540e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9833846305958773e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9834442591214889e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9834462874077357e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9833589564507108e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9834829484368037e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9831183922970490e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9832247573371835e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9834090003105391e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9832470448796540e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9834442591214889e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9834829484368037e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9833679905400452e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9835291141918758e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9833631331911976e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9835658470855304e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9833406380979217e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9831680016573476e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9831680016573476e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9833406380979217e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9833527621979778e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9835658470855304e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9833267195960051e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9834084927563227e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9822769794572741e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9830087347272234e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9832290419282221e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9832593199632702e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9832660660076400e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9834355053935597e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9831256639668320e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9831732991350197e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9831244701820299e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9832108906858286e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9831362635401122e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9831968856803455e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9831968856803455e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9831362635401122e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9833873743442136e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9832108906858286e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9832552002334263e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9834653180250665e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9833146924984129e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9832089071522256e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9834357809481300e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9834653180250665e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9832134288591345e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9832593199632702e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9831968856803455e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9833873743442136e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9831830844764646e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9834653180250665e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9832089071522256e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9833146924984129e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9833146924984129e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9834357809481300e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9828969556727398e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9832593199632702e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9830087347272234e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9822769794572741e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9832851660797883e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9831850254886012e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9833807409221798e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9822769794572741e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9832290419282221e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9834355053935597e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9831966870165589e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9830974918158499e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9831857128401902e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9831634278639247e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9831117089941168e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9831814113213546e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9828930456917231e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9833540815678301e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9831221318534324e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9831966870165589e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9832398392676369e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9831568588621145e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9831568588621145e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9832398392676369e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9831902189417199e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9831966870165589e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9831857128401902e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9831814113213546e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9831814113213546e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9831117089941168e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9830749643789995e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9831634278639247e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9831178307403245e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9829636173618741e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9829636173618741e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9831178307403245e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9831774554023345e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9831634278639247e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9831903405709677e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9832108906858286e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9829636173618741e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9831774554023345e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9831309804061230e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9832108906858286e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9831732991350197e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9831256639668320e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9828930456917231e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9831221318534324e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9831507530490415e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9831568588621145e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9831200131248798e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9831521942710011e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9831521942710011e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9831738881238352e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9831507530490415e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9831765654774041e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9832277861646679e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9828930456917231e-01"
4.00E-07,-1.96E-03,3.46E-08,"		9.9829033939382095e-01"
4.00E-07,-1.96E-03,3.46E-08,"		9.9828532635233558e-01"
3.50E-07,-1.96E-03,3.46E-08,"		9.9828302990543683e-01"
4.00E-07,-1.96E-03,3.46E-08,"		9.9829266621931645e-01"
3.50E-07,-1.96E-03,3.46E-08,"		9.9829635896805913e-01"
3.00E-07,-1.96E-03,3.46E-08,"		9.9826975238755877e-01"
4.00E-07,-1.96E-03,3.46E-08,"		9.9829033939382095e-01"
3.50E-07,-1.96E-03,3.46E-08,"		9.9829402194773564e-01"
4.00E-07,-1.96E-03,3.46E-08,"		9.9828783619615657e-01"
3.00E-07,-1.96E-03,3.46E-08,"		9.9829185043381674e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9829106924612832e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9828775956822124e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9836090082562923e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9831122036523490e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9831934883936269e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9827677446666407e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9831384294304426e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9828775956822124e-01"
