Scalar,data,"SurfaceValue(Surface(PDF_Geometry_3), VOLTAGE)",
NumElems,136,,
3.50E-07,-1.97E-03,3.48E-08,"		9.9997989146160027e-01"
4.00E-07,-1.97E-03,3.48E-08,"		9.9997150881672736e-01"
3.00E-07,-1.97E-03,3.48E-08,"		9.9998404353247883e-01"
3.50E-07,-1.97E-03,3.48E-08,"		9.9997496742768388e-01"
4.00E-07,-1.97E-03,3.48E-08,"		9.9998343245879062e-01"
4.00E-07,-1.97E-03,3.48E-08,"		9.9998343245879062e-01"
3.50E-07,-1.97E-03,3.47E-08,"		9.9998657799354784e-01"
4.00E-07,-1.97E-03,3.47E-08,"		1.0000000458346161e+00"
3.00E-07,-1.97E-03,3.47E-08,"		9.9999750539702192e-01"
3.50E-07,-1.97E-03,3.47E-08,"		9.9999662568416847e-01"
4.00E-07,-1.97E-03,3.47E-08,"		1.0000097658244584e+00"
3.00E-07,-1.97E-03,3.48E-08,"		9.9997987498084884e-01"
3.00E-07,-1.97E-03,3.47E-08,"		9.9998279049148964e-01"
3.50E-07,-1.97E-03,3.48E-08,"		9.9998155771290831e-01"
3.00E-07,-1.97E-03,3.47E-08,"		9.9999750539702192e-01"
3.50E-07,-1.97E-03,3.47E-08,"		9.9998657799354784e-01"
4.00E-07,-1.97E-03,3.48E-08,"		9.9998343245879062e-01"
3.00E-07,-1.97E-03,3.48E-08,"		9.9997987498084884e-01"
3.50E-07,-1.97E-03,3.48E-08,"		9.9998155771290831e-01"
3.00E-07,-1.97E-03,3.48E-08,"		9.9997724943982436e-01"
4.00E-07,-1.97E-03,3.48E-08,"		9.9998343245879062e-01"
3.50E-07,-1.97E-03,3.48E-08,"		9.9997496742768388e-01"
3.00E-07,-1.97E-03,3.48E-08,"		9.9998404353247883e-01"
3.00E-07,-1.98E-03,3.48E-08,"		9.9997312013283146e-01"
3.00E-07,-1.97E-03,3.48E-08,"		9.9996627698065765e-01"
3.50E-07,-1.97E-03,3.48E-08,"		9.9996910615945267e-01"
3.00E-07,-1.97E-03,3.48E-08,"		9.9998404353247883e-01"
3.50E-07,-1.97E-03,3.48E-08,"		9.9997989146160027e-01"
4.00E-07,-1.97E-03,3.48E-08,"		9.9997417323434290e-01"
4.00E-07,-1.98E-03,3.49E-08,"		1.0000114192339180e+00"
3.50E-07,-1.98E-03,3.49E-08,"		1.0000194701899650e+00"
3.50E-07,-1.98E-03,3.48E-08,"		9.9998886861686698e-01"
3.00E-07,-1.98E-03,3.49E-08,"		1.0000280419103160e+00"
3.00E-07,-1.98E-03,3.48E-08,"		9.9999235131022857e-01"
3.00E-07,-1.98E-03,3.48E-08,"		9.9997312013283146e-01"
3.00E-07,-1.98E-03,3.48E-08,"		9.9997312013283146e-01"
3.50E-07,-1.97E-03,3.48E-08,"		9.9996910615945267e-01"
3.50E-07,-1.98E-03,3.48E-08,"		9.9998886861686698e-01"
4.00E-07,-1.97E-03,3.48E-08,"		9.9997417323434290e-01"
4.00E-07,-1.98E-03,3.48E-08,"		9.9997070118587172e-01"
4.00E-07,-1.98E-03,3.49E-08,"		1.0000114192339180e+00"
3.00E-07,-1.98E-03,3.49E-08,"		1.0000280419103160e+00"
3.50E-07,-1.98E-03,3.49E-08,"		1.0000194701899650e+00"
3.00E-07,-1.98E-03,3.49E-08,"		1.0000072035551584e+00"
4.00E-07,-1.98E-03,3.49E-08,"		1.0000114192339180e+00"
3.50E-07,-1.98E-03,3.49E-08,"		1.0000114522889261e+00"
3.00E-07,-1.98E-03,3.50E-08,"		1.0000225399090101e+00"
4.00E-07,-1.98E-03,3.50E-08,"		1.0000116787242304e+00"
3.50E-07,-1.98E-03,3.50E-08,"		1.0000168419139337e+00"
4.00E-07,-1.98E-03,3.49E-08,"		1.0000121642073778e+00"
3.00E-07,-1.98E-03,3.50E-08,"		1.0000225399090101e+00"
3.50E-07,-1.98E-03,3.49E-08,"		1.0000114522889261e+00"
4.00E-07,-1.98E-03,3.49E-08,"		1.0000114192339180e+00"
3.00E-07,-1.98E-03,3.50E-08,"		1.0000225399090101e+00"
3.50E-07,-1.98E-03,3.50E-08,"		1.0000168419139337e+00"
3.00E-07,-1.98E-03,3.50E-08,"		9.9997390644331086e-01"
4.00E-07,-1.98E-03,3.50E-08,"		1.0000116787242304e+00"
3.50E-07,-1.98E-03,3.50E-08,"		9.9997482956369421e-01"
3.00E-07,-1.99E-03,3.51E-08,"		9.9999146026053842e-01"
4.00E-07,-1.99E-03,3.51E-08,"		9.9999305937495531e-01"
3.50E-07,-1.99E-03,3.51E-08,"		9.9999228051478339e-01"
4.00E-07,-1.98E-03,3.50E-08,"		9.9997245063273321e-01"
3.00E-07,-1.99E-03,3.51E-08,"		9.9999146026053842e-01"
3.50E-07,-1.98E-03,3.50E-08,"		9.9997482956369421e-01"
4.00E-07,-1.98E-03,3.50E-08,"		1.0000116787242304e+00"
3.00E-07,-1.99E-03,3.51E-08,"		9.9999146026053842e-01"
3.50E-07,-1.99E-03,3.51E-08,"		9.9999228051478339e-01"
3.50E-07,-1.99E-03,3.52E-08,"		9.9999102091827341e-01"
4.00E-07,-1.99E-03,3.51E-08,"		9.9999305937495531e-01"
4.00E-07,-1.99E-03,3.52E-08,"		9.9998165103172731e-01"
4.00E-07,-1.99E-03,3.53E-08,"		9.9998073097866191e-01"
3.00E-07,-1.99E-03,3.51E-08,"		9.9999146026053842e-01"
3.50E-07,-1.99E-03,3.52E-08,"		9.9999102091827341e-01"
